customer_id,name,email,signup_date,region,is_valid_email
C002,Priya Mehta,priya.mehta@yahoo.com,2023-01-15,South,True
C003,Rohan Gupta,rohan.gupta@hotmail.com,2023-02-10,East,True
C004,Sneha Patel,sneha.patel@gmail.com,2023-02-20,West,True
C005,Vikram Singh,vikram.singhoutlook.com,2023-03-05,North,False
C006,Anjali Rao,anjali.rao@gmail.com,2023-03-05,Unknown,True
C007,Karan Joshi,karan.joshi@gmail.com,2023-03-18,East,True
C008,Deepika Nair,deepika.nair@gmail.com,2023-04-02,South,True
C009,Arjun Kumar,arjun.kumar@yahoo.com,2023-04-02,West,True
C010,Neha Verma,neha.verma@gmail.com,2023-04-15,North,True
C011,Siddharth Rao,siddharth.rao@gmail.com,2023-05-01,South,True
C012,Pooja Iyer,pooja.iyer@rediffmail.com,2023-05-01,East,True
C013,Rahul Bose,rahul.bose@gmail.com,2023-05-20,West,True
C001,Aarav Sharma,aarav.sharma@gmail.com,2023-06-01,North,True
C015,Manish Tiwari,manish.tiwari@yahoo.com,2023-06-10,South,True
C014,Shruti Das,shruti.das@gmail.com,2023-06-10,North,True
C016,Kavya Menon,kavya.menonhotmail.com,2023-06-25,East,False
C017,Aditya Shah,aditya.shah@gmail.com,2023-07-08,West,True
C018,Ritu Aggarwal,ritu.aggarwal@gmail.com,2023-07-08,North,True
C019,Suresh Pillai,suresh.pillai@gmail.com,2023-07-22,South,True
C020,Meera Nair,meera.nair@yahoo.com,2023-08-05,East,True
C021,Tarun Khanna,tarun.khanna@gmail.com,2023-08-05,West,True
C022,Divya Sharma,divya.sharma@gmail.com,2023-08-19,North,True
C023,Nitesh Patel,nitesh.patel@gmail.com,2023-09-01,South,True
C024,Radha Gupta,radha.gupta@yahoo.com,2023-09-01,East,True
C025,Vishal Mehta,vishal.mehta@gmail.com,2023-09-14,West,True
C027,Harish Joshi,harish.joshi@hotmail.com,2023-10-03,Unknown,True
C026,Swati Singh,swati.singh@gmail.com,2023-10-03,North,True
C028,Shilpa Kumar,shilpa.kumarrediffmail.com,2023-10-18,West,False
C029,Gaurav Bose,gaurav.bose@gmail.com,2023-11-02,North,True
C030,Pallavi Iyer,pallavi.iyer@yahoo.com,2023-11-02,South,True
C032,Seema Tiwari,seema.tiwari@gmail.com,2023-11-15,West,True
C031,Arun Das,arun.das@gmail.com,2023-11-15,East,True
C033,Lokesh Menon,lokesh.menon@gmail.com,2023-12-01,North,True
C034,Bhavna Shah,bhavna.shah@yahoo.com,2023-12-10,South,True
C035,Ramesh Aggarwal,ramesh.aggarwal@gmail.com,2023-12-10,East,True
C036,Usha Pillai,usha.pillai@hotmail.com,2024-01-05,West,True
C037,Dinesh Nair,dinesh.nair@gmail.com,2024-01-18,North,True
C038,Kamla Khanna,kamla.khannagmail.com,2024-01-18,South,False
C039,Vijay Sharma,vijay.sharma@gmail.com,2024-02-03,East,True
C041,Rajan Mehta,rajan.mehta@gmail.com,2024-02-17,North,True
C040,Shanta Gupta,shanta.gupta@yahoo.com,2024-02-17,West,True
C042,Anita Singh,anita.singh@gmail.com,2024-03-01,South,True
C043,Manoj Joshi,manoj.joshi@gmail.com,2024-03-15,East,True
C044,Rekha Kumar,rekha.kumar@yahoo.com,2024-03-15,West,True
C045,Sunil Bose,sunil.bose@gmail.com,2024-04-01,North,True
C046,Lata Iyer,lata.iyer@hotmail.com,2024-04-12,South,True
C047,Mohan Das,mohan.das@gmail.com,2024-04-12,East,True
C048,Savita Tiwari,savita.tiwari@gmail.com,2024-04-25,West,True
C049,Rajesh Menon,rajesh.menon@yahoo.com,2024-05-08,North,True
C050,Geetha Shah,geetha.shah@gmail.com,2024-05-08,South,True
C051,Prakash Aggarwal,prakash.aggarwal@gmail.com,2024-05-20,East,True
C052,Sarla Pillai,sarla.pillai@hotmail.com,2024-06-03,West,True
C053,Naresh Nair,naresh.nair@gmail.com,2024-06-03,North,True
C054,Sunita Khanna,sunita.khanna@yahoo.com,2024-06-15,South,True
C055,Ashok Sharma,ashok.sharma@gmail.com,2024-06-28,East,True
C056,Meenakshi Gupta,meenakshiguptayahoo.com,2024-06-28,West,False
C057,Hemant Mehta,hemant.mehta@gmail.com,2024-07-10,North,True
C058,Veena Singh,veena.singh@gmail.com,2024-07-22,South,True
C059,Chandra Joshi,chandra.joshi@yahoo.com,2024-07-22,East,True
C060,Puja Kumar,puja.kumar@gmail.com,2024-08-05,West,True
C061,Sanjay Bose,sanjay.bose@gmail.com,2024-08-05,North,True
C062,Nirmala Iyer,nirmala.iyer@hotmail.com,2024-08-18,South,True
C063,Mahesh Das,mahesh.das@gmail.com,2024-09-01,East,True
C064,Vimala Tiwari,vimala.tiwari@yahoo.com,2024-09-01,West,True
C065,Suresh Menon,suresh.menon@gmail.com,2024-09-14,North,True
C066,Padma Shah,padma.shah@gmail.com,2024-09-14,Unknown,True
C067,Girish Aggarwal,girish.aggarwal@gmail.com,2024-10-01,East,True
C068,Lalitha Pillai,lalitha.pillai@yahoo.com,2024-10-14,West,True
C069,Narayana Nair,narayana.nair@gmail.com,2024-10-14,North,True
C070,Saraswati Khanna,saraswati.khanna@gmail.com,2024-10-28,South,True
C071,Bharat Kumar,bharat.kumar@gmail.com,2024-11-10,East,True
C072,Prema Singh,prema.singh@hotmail.com,2024-11-10,West,True
C073,Krishnan Joshi,krishnan.joshi@gmail.com,2024-11-25,North,True
C074,Indira Bose,indira.bose@yahoo.com,2024-12-05,South,True
C075,Dhanraj Iyer,dhanraj.iyer@gmail.com,2024-12-05,East,True
